space_id,url,name,country,city,address,latitude,longitude,star_rating,review_count,happiness_score,resource_type,all_resource_types,price,price_currency,price_duration,price_usd,hot_desk_month_price,dedicated_desk_month_price,capacity,max_meeting_room_capacity,amenities_list,has_wifi,has_meeting_rooms,has_kitchen,has_natural_light,has_24_7_access,has_printer,has_phone_booth,has_air_conditioning,has_coffee_tea,has_standing_desks,has_ergonomic_chairs,has_events_workshops,has_parking,has_lounge_relaxation,has_pet_friendly
34650,https://www.coworker.com/united-kingdom/crayford/15151-texcel-developments-ltd,Texcel Developments Ltd,United Kingdom,Crayford,London House Business Centre,51.4501131,0.1822046,,0,,Dedicated Desks,Dedicated Desks,,GBP,,,,500.0,,,"[""24hr member access"", ""5 Minute Walk From Public Transit""]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34651,https://www.coworker.com/united-kingdom/crayford/15152-texcel-developments-ltd,Texcel Developments Ltd,United Kingdom,Crayford,Howbury Technology Centre,51.4501131,0.1822046,,0,,Dedicated Desks,Dedicated Desks,,GBP,,,0.0,500.0,0.0,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34652,https://www.coworker.com/united-kingdom/crayford/15153-texcel-developments-ltd,Texcel Developments Ltd,United Kingdom,Crayford,Water House Business Centre,51.4501131,0.1822046,,0,,Dedicated Desks,Dedicated Desks,,GBP,,,0.0,900.0,0.0,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34653,https://www.coworker.com/united-kingdom/crayford/15171-texcel-developments-ltd,Texcel Developments Ltd,United Kingdom,Crayford,Parkside Works Unit D,51.4501131,0.1822046,,0,,Shared Office / Desk,Shared Office / Desk,,GBP,,,,,,,"[""24hr member access"", ""5 Minute Walk From Public Transit"", ""Parking""]",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
14440,https://www.coworker.com/spain/elche/elche-coworking,Elche Coworking,Spain,Elche,10 Carrer María de Maeztu,38.2699329,-0.7125608,,0,,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,20.0,EUR,day,22.0,175.0,350.0,10.0,20.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Kitchen"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Facebook Group for Members"", ""Printer"", ""Scanner"", ""Photocopier"", ""Projector"", ""Outdoor Terrace"", ""Makerspace"", ""Showers"", ""Event Space For Rent"", ""Parking"", ""5 Minute Walk From Public Transit"", ""Wheelchair Accessibility"", ""24hr member access"", ""Alcohol available for purchase"", ""Catering Kitchen"", ""Snacks Available for Purchase"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,1,1,1,1,0,0
3364,https://www.coworker.com/spain/elche/larcosta-working,LarCOsta Working,Spain,Elche,43 Calle Juan de Herrera,38.2699329,-0.7125608,,0,,Hot Desk,Hot Desks,124.0,EUR,month,137.0,124.0,,10.0,6.0,"[""High-Speed WiFi"", ""Free Coffee"", ""Air Conditioning"", ""Kitchen"", ""Printer"", ""Scanner"", ""Photocopier""]",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
3416,https://www.coworker.com/spain/elche/coworking-studio-elche,Coworking Studio Elche,Spain,Elche,6 Carrer Santa Bárbera,38.2699329,-0.7125608,,0,,Hot Desk,Hot Desks,150.0,EUR,month,165.0,150.0,,16.0,4.0,"[""High-Speed WiFi"", ""Free Coffee"", ""Air Conditioning"", ""Printer"", ""Scanner"", ""Photocopier"", ""24hr member access""]",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
6135,https://www.coworker.com/ireland/wexford/no-61-north,No 61 North,Ireland,Wexford,North Main Street,52.336916,-6.4633381,,0,,Private Workspace,Private Workspace; Dedicated Desks,,EUR,,,,150.0,0.0,,"[""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Free Coffee"", ""Air Conditioning"", ""Heating"", ""Kitchen"", ""Free Drinking Water"", ""Printer"", ""Scanner"", ""Photocopier""]",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
7278,https://www.coworker.com/bosnia-and-herzegovina/tuzla/brdo-coworking-space,BRDO Coworking Space,Bosnia and Herzegovina,Tuzla,"Kaldrma 2, (Akifa Šeremeta 2)",44.5374611,18.6734687,,0,,Hot Desk,Hot Desks; Dedicated Desks,10.0,BAM,day,6.0,120.0,200.0,25.0,8.0,"[""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Free Coffee"", ""Air Conditioning"", ""Heating"", ""Kitchen"", ""Free Drinking Water"", ""Standing Desks"", ""Outdoor Terrace"", ""Swimming Pool"", ""Parking"", ""Events"", ""Co-living Accommodation"", ""Sound Recording Equipment"", ""Video Recording Equipment"", ""Library"", ""Printer"", ""Scanner"", ""Photocopier"", ""24hr member access"", ""Computers (PCs)""]",1,0,1,0,0,1,0,1,1,1,0,1,1,1,0
13570,https://www.coworker.com/france/bayonne/ekitegia-baiona-ko-working,EKITEGIA - Baiona Ko Working,France,Bayonne,"31 Avenue de l'Aquitaine, B13",43.492949,-1.474841,,0,,Hot Desk,Private Workspace; Hot Desks,15.0,EUR,day,17.0,200.0,,6.0,12.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Community Lunches"", ""Printer"", ""Scanner"", ""Photocopier"", ""Nap Room"", ""Co-living Accommodation"", ""Personal Lockers"", ""Library"", ""Parking"", ""5 Minute Walk From Public Transit"", ""Wheelchair Accessibility"", ""24hr member access"", ""Catering Kitchen"", ""Free Tea""]",1,0,1,0,0,1,0,1,1,0,1,1,1,0,0
34498,https://www.coworker.com/united-kingdom/kemnay/634-netherton-business-centre,Netherton Business Centre,United Kingdom,Kemnay,Netherton Rural Business Centres,57.232193,-2.445715,,0,,Private Workspace,Private Workspace,,GBP,,,,,,,"[""24hr member access"", ""Parking"", ""Showers""]",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
38108,https://www.coworker.com/portugal/costa-da-caparica/caparica-cowork-studio,Caparica Cowork Studio,Portugal,Costa da Caparica,1B Rua José Vicente da Costa,38.6446232,-9.2333653,,0,,Hot Desk,Hot Desks; Dedicated Desks; Virtual Office,12.0,EUR,day,13.0,120.0,209.0,12.0,6.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Mentorship Programs"", ""Printer"", ""Scanner"", ""Recording Studio"", ""Podcasting Room"", ""Personal Lockers"", ""Event Space For Rent"", ""Nearby Airbnb"", ""Library"", ""Parking"", ""5 Minute Walk From Public Transit"", ""Snacks Available for Purchase"", ""Free Tea"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,1,1,1,1,1,0
34678,https://www.coworker.com/united-kingdom/chineham/16017-mepc,MEPC,United Kingdom,Chineham,100 Cedarwood ,51.291936,-1.060384,,0,,Dedicated Desks,Dedicated Desks,,GBP,,,,900.0,,,"[""24hr member access"", ""Parking""]",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11696,https://www.coworker.com/montenegro/niksic/code-hub-coworking-niksic,CODE Hub Coworking Niksic,Montenegro,Niksic,Radoja Dakića,42.7804735,18.9561661,5.0,1,5.0,Shared Office / Desk,Shared Office / Desk,,EUR,,,0.0,0.0,70.0,100.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Beanbags"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Community Drinks"", ""Mentorship Programs"", ""Pitching events"", ""Incubator programs"", ""Toastmasters"", ""Dual / Single Monitors"", ""Printer"", ""Scanner"", ""Photocopier"", ""Projector"", ""Microphone"", ""Outdoor Terrace"", ""Nap Room"", ""Meditation Room"", ""Personal Lockers"", ""Phone Booth"", ""Event Space For Rent"", ""Nearby Airbnb"", ""Pool Table"", ""Table Football / Foosball"", ""Parking"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""Wheelchair Accessibility"", ""Onsite Restaurant"", ""Vegan Menu"", ""Vegetarian Menu"", ""Gluten Free Menu"", ""Onsite Cafe"", ""Coffee For Purchase""]",1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
36982,https://www.coworker.com/morocco/sala-al-jadida/workeo,WORKEO,Morocco,Sala Al Jadida,"Romana Garden 02, Magasin 27, Sala Al Jadida 11100, Maroc",33.9940134,-6.7360188,,0,,Hot Desk,Hot Desks,60.0,MAD,day,6.0,1000.0,,30.0,4.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Printer"", ""Scanner"", ""Projector"", ""Outdoor Terrace"", ""Phone Booth"", ""Library"", ""5 Minute Walk From Public Transit"", ""Free Tea""]",1,0,0,0,0,1,1,1,1,1,1,1,0,0,0
8227,https://www.coworker.com/chile/carahue/kowork-mapu,kowork Mapu,Chile,Carahue,av. Lautaro,-38.7088593,-73.1678812,,0,,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,8000.0,CLP,day,10.0,80000.0,38080.0,20.0,10.0,"[""Free Coffee"", ""Kitchen"", ""Standing Desks"", ""Events"", ""Printer"", ""Photocopier"", ""Personal Lockers""]",0,0,1,0,0,1,0,0,1,1,0,1,0,0,0
11558,https://www.coworker.com/chile/carahue/kowork-mapu-2,KOWORK MAPU,Chile,Carahue,Av. Lautaro 380-B,-38.7088593,-73.1678812,,0,,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,6000.0,CLP,day,8.0,80000.0,38080.0,20.0,12.0,"[""High-Speed WiFi"", ""Standing Desks"", ""Kitchen"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Facebook Group for Members"", ""Accelerator programs"", ""Printer"", ""Scanner"", ""Photocopier"", ""Projector"", ""Greenscreen"", ""Makerspace"", ""Event Space For Rent"", ""10 Minute Walk From Public Transit"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,1,1,1,0,0,0
23460,https://www.coworker.com/egypt/cairo/regus-cairo-new-cairo,Regus - Cairo New Cairo,Egypt,Cairo,"The 47 Office Building, Street 90",30.0444196,31.2357116,4.1667,6,5.0,Private Workspace,Private Workspace; Dedicated Desks; Virtual Office,,EGP,,,,9741.0,,12.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23073,https://www.coworker.com/egypt/cairo/regus-cairo-nile-city-towers,Regus - Cairo Nile City Towers,Egypt,Cairo,"Cornich El Nile, Ramelt Beaulac, North Tower, Nile City Towers",30.0444196,31.2357116,5.0,4,5.0,Hot Desk,Private Workspace; Hot Desks,10017.0,EGP,month,634.0,10017.0,0.0,0.0,12.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24234,https://www.coworker.com/egypt/cairo/regus-cairo-arkan-plaza,"Regus - Cairo, Arkan Plaza",Egypt,Cairo,"Plot 31 El Sheikh Zayed, Giza In Front Of Zayed",30.0444196,31.2357116,5.0,6,5.0,Hot Desk,Private Workspace; Hot Desks; Virtual Office,9272.0,EGP,month,587.0,9272.0,,,12.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24480,https://www.coworker.com/egypt/cairo/regus-cairo-maadi-club,"Regus - Cairo, Maadi Club",Egypt,Cairo,"Road 18, Sarayat El Maadi, 5th Floor, Building # 55",30.0444196,31.2357116,5.0,7,5.0,Hot Desk,Private Workspace; Hot Desks; Virtual Office,7410.0,EGP,month,469.0,7410.0,,,6.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25047,https://www.coworker.com/egypt/cairo/regus-cairo-nasr-city-olympic-building,"Regus - Cairo, Nasr City Olympic Building",Egypt,Cairo,"Namaa Building 5th floor, Emtedad Ramses 6th District",30.0444196,31.2357116,5.0,5,5.0,Hot Desk,Private Workspace; Hot Desks; Virtual Office,7410.0,EGP,month,469.0,7410.0,,,6.0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4659,https://www.coworker.com/egypt/cairo/urban-station-cairo,URBAN STATION - Cairo,Egypt,Cairo,"2 Wadi El Nil Mohandeseen,",30.0444196,31.2357116,5.0,2,5.0,Shared Office / Desk,Shared Office / Desk,,EGP,,,0.0,0.0,0.0,,"[""High-Speed WiFi"", ""Air Conditioning"", ""Free Coffee"", ""Events"", ""Printer"", ""Scanner"", ""Photocopier"", ""Personal Lockers""]",1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
38714,https://www.coworker.com/egypt/cairo/kapitalize-the-district-vill,KAPITALIZE - The District Vill,Egypt,Cairo,"39RM+8Q5, Sheraton Al Matar, El Nozha, Cairo Governorate 4472111, Egypt",30.0444196,31.2357116,,0,,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,500.0,EGP,day,32.0,5000.0,5000.0,100.0,10.0,"[""High-Speed WiFi"", ""Air Conditioning"", ""Ergonomic Chairs"", ""Events"", ""Printer"", ""Scanner"", ""Photocopier"", ""Projector"", ""Outdoor Terrace"", ""Retail Space"", ""Gym"", ""Parking"", ""Free Tea""]",1,0,0,0,0,1,0,1,1,0,1,1,1,0,0
2308,https://www.coworker.com/egypt/cairo/makanak-office-space,Makanak Office Space,Egypt,Cairo,"Address: أمام بوابة 3 للقرية التكنولوجية عمارة، 11G رقم 4, Ezbet Fahmy, Maadi, Cairo Governorate 4234301, Lasilky Division",30.0444196,31.2357116,4.9434,53,4.94,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,150.0,EGP,day,9.0,2500.0,2500.0,600.0,50.0,"[""High-Speed WiFi"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Mentorship Programs"", ""Incubator programs"", ""Accelerator programs"", ""Dual / Single Monitors"", ""Printer"", ""Scanner"", ""Photocopier"", ""Projector"", ""Microphone"", ""Outdoor Terrace"", ""Event Space For Rent"", ""5 Minute Walk From Public Transit"", ""Wheelchair Accessibility"", ""24hr member access"", ""Catering Kitchen"", ""Snacks Available for Purchase"", ""Free Tea"", ""Onsite Barista"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,1,1,1,0,1,0
8854,https://www.coworker.com/egypt/cairo/kapitalize,KAPITALIZE,Egypt,Cairo,"Tower 12 (over EG bank) , Bavaria Town, Ring Road",30.0444196,31.2357116,4.9655,29,4.97,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,200.0,EGP,day,13.0,3000.0,3000.0,150.0,12.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Printer"", ""Scanner"", ""Phone Booth"", ""24hr member access""]",1,0,1,0,0,1,1,1,0,0,0,0,0,1,0
